timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1366824267843,192,Create Object,201,Created,Fedora 4 1-1,text,true,207,191
1366824267898,296,Create Object,201,Created,Fedora 4 1-2,text,true,207,296
1366824268046,246,Create Datastream,201,Created,Fedora 4 1-1,,true,215,246
1366824267951,411,Create Object,201,Created,Fedora 4 1-3,text,true,207,411
1366824268205,284,Create Datastream,201,Created,Fedora 4 1-2,,true,215,284
1366824268315,288,Update Datastream,201,Created,Fedora 4 1-1,,true,215,288
1366824267998,738,Create Object,201,Created,Fedora 4 1-4,text,true,207,738
1366824268374,516,Create Datastream,201,Created,Fedora 4 1-3,,true,215,516
1366824268074,899,Create Object,201,Created,Fedora 4 1-5,text,true,207,899
1366824268502,500,Update Datastream,201,Created,Fedora 4 1-2,,true,215,500
1366824268620,482,Update Datastream,201,Created,Fedora 4 1-1,,true,215,482
1366824268123,984,Create Object,201,Created,Fedora 4 1-6,text,true,207,984
1366824268746,552,Create Datastream,201,Created,Fedora 4 1-4,,true,215,552
1366824268174,1144,Create Object,201,Created,Fedora 4 1-7,text,true,207,1144
1366824268909,515,Update Datastream,201,Created,Fedora 4 1-3,,true,215,515
1366824268322,1207,Create Object,201,Created,Fedora 4 1-10,text,true,209,1206
1366824268980,669,Create Datastream,201,Created,Fedora 4 1-5,,true,215,669
1366824269015,720,Update Datastream,201,Created,Fedora 4 1-2,,true,215,720
1366824268535,1207,Create Object,201,Created,Fedora 4 1-14,text,true,209,1207
1366824269116,707,Update Datastream,201,Created,Fedora 4 1-1,,true,215,707
1366824268745,1210,Create Object,201,Created,Fedora 4 1-18,text,true,209,1210
1366824269114,910,Create Datastream,201,Created,Fedora 4 1-6,,true,215,910
1366824268228,1858,Create Object,201,Created,Fedora 4 1-8,text,true,207,1858
1366824269308,814,Update Datastream,201,Created,Fedora 4 1-4,,true,215,814
1366824268275,1963,Create Object,201,Created,Fedora 4 1-9,text,true,207,1963
1366824269320,1010,Create Datastream,201,Created,Fedora 4 1-7,,true,215,1010
1366824269436,983,Update Datastream,201,Created,Fedora 4 1-3,,true,215,983
1366824268376,2047,Create Object,201,Created,Fedora 4 1-11,text,true,209,2047
1366824269534,1127,Create Datastream,201,Created,Fedora 4 1-10,,true,216,1127
1366824268431,2235,Create Object,201,Created,Fedora 4 1-12,text,true,209,2235
1366824269664,1079,Update Datastream,201,Created,Fedora 4 1-5,,true,215,1079
1366824268691,2167,Create Object,201,Created,Fedora 4 1-17,text,true,209,2167
1366824269747,1119,Update Datastream,201,Created,Fedora 4 1-2,,true,215,1119
1366824268849,2231,Create Object,201,Created,Fedora 4 1-20,text,true,209,2231
1366824269961,1227,Create Datastream,201,Created,Fedora 4 1-18,,true,216,1227
1366824268483,2843,Create Object,201,Created,Fedora 4 1-13,text,true,209,2843
1366824270244,1189,Create Datastream,201,Created,Fedora 4 1-9,,true,215,1189
1366824268588,2940,Create Object,201,Created,Fedora 4 1-15,text,true,209,2939
1366824270434,1133,Update Datastream,201,Created,Fedora 4 1-3,,true,215,1133
1366824268639,3062,Create Object,201,Created,Fedora 4 1-16,text,true,209,3062
1366824270672,1123,Create Datastream,201,Created,Fedora 4 1-12,,true,216,1123
1366824268798,3094,Create Object,201,Created,Fedora 4 1-19,text,true,209,3094
1366824269836,2104,Update Datastream,201,Created,Fedora 4 1-1,,true,215,2104
1366824270036,2038,Update Datastream,201,Created,Fedora 4 1-6,,true,215,2038
1366824271086,1206,Create Datastream,201,Created,Fedora 4 1-20,,true,216,1206
1366824271332,1114,Create Datastream,201,Created,Fedora 4 1-13,,true,216,1114
1366824270429,2199,Create Datastream,201,Created,Fedora 4 1-11,,true,216,2199
1366824270676,2117,Update Datastream,201,Created,Fedora 4 1-10,,true,216,2117
1366824271807,1110,Update Datastream,201,Created,Fedora 4 1-12,,true,216,1110
1366824271898,1312,Create Datastream,201,Created,Fedora 4 1-19,,true,216,1312
1366824271198,2137,Update Datastream,201,Created,Fedora 4 1-18,,true,216,2137
1366824270344,3089,Update Datastream,201,Created,Fedora 4 1-7,,true,215,3089
1366824271446,2155,Update Datastream,201,Created,Fedora 4 1-9,,true,215,2155
1366824272638,1197,Update Datastream,201,Created,Fedora 4 1-11,,true,216,1197
1366824270864,3219,Create Datastream,201,Created,Fedora 4 1-17,,true,216,3219
1366824272086,2178,Update Datastream,201,Created,Fedora 4 1-6,,true,215,2178
1366824272305,2092,Update Datastream,201,Created,Fedora 4 1-20,,true,216,2092
1366824273446,1049,Update Datastream,201,Created,Fedora 4 1-7,,true,215,1049
1366824271534,3177,Create Datastream,201,Created,Fedora 4 1-15,,true,216,3177
1366824271707,3293,Create Datastream,201,Created,Fedora 4 1-16,,true,216,3293
1366824271954,3144,Update Datastream,201,Created,Fedora 4 1-1,,true,215,3144
1366824270135,5084,Update Datastream,201,Created,Fedora 4 1-4,,true,215,5084
1366824273225,2100,Update Datastream,201,Created,Fedora 4 1-19,,true,216,2100
1366824273347,2161,Update Datastream,201,Created,Fedora 4 1-18,,true,216,2161
1366824274506,1099,Update Datastream,201,Created,Fedora 4 1-7,,true,215,1099
1366824273615,2091,Update Datastream,201,Created,Fedora 4 1-9,,true,215,2091
1366824274725,1075,Update Datastream,201,Created,Fedora 4 1-15,,true,216,1075
1366824272806,3110,Update Datastream,201,Created,Fedora 4 1-10,,true,216,3110
1366824272927,3182,Update Datastream,201,Created,Fedora 4 1-12,,true,216,3182
1366824275107,1111,Update Datastream,201,Created,Fedora 4 1-1,,true,215,1111
1366824275228,1079,Update Datastream,201,Created,Fedora 4 1-4,,true,215,1079
1366824275336,1053,Update Datastream,201,Created,Fedora 4 1-19,,true,216,1053
1366824274407,2141,Update Datastream,201,Created,Fedora 4 1-20,,true,216,2141
1366824271577,5116,Update Datastream,201,Created,Fedora 4 1-3,,true,215,5116
1366824275717,1094,Update Datastream,201,Created,Fedora 4 1-9,,true,215,1094
1366824275814,1097,Update Datastream,201,Created,Fedora 4 1-15,,true,216,1097
1366824275927,1081,Update Datastream,201,Created,Fedora 4 1-10,,true,216,1081
1366824275015,2112,Update Datastream,201,Created,Fedora 4 1-16,,true,216,2112
1366824276123,1082,Update Datastream,201,Created,Fedora 4 1-12,,true,216,1082
1366824276228,1073,Update Datastream,201,Created,Fedora 4 1-1,,true,215,1073
1366824276318,1147,Update Datastream,201,Created,Fedora 4 1-4,,true,215,1147
1366824272457,5085,Update Datastream,201,Created,Fedora 4 1-13,,true,216,5085
1366824276558,1063,Update Datastream,201,Created,Fedora 4 1-20,,true,216,1063
1366824275617,2078,Update Datastream,201,Created,Fedora 4 1-7,,true,215,2078
1366824276706,1070,Update Datastream,201,Created,Fedora 4 1-3,,true,215,1070
1366824270756,7139,Update Datastream,201,Created,Fedora 4 1-5,,true,215,7139
1366824276925,1045,Update Datastream,201,Created,Fedora 4 1-15,,true,216,1045
1366824277018,1031,Update Datastream,201,Created,Fedora 4 1-10,,true,216,1031
1366824277137,988,Update Datastream,201,Created,Fedora 4 1-16,,true,216,988
1366824274096,4108,Update Datastream,201,Created,Fedora 4 1-17,,true,216,4108
1366824277216,1100,Update Datastream,201,Created,Fedora 4 1-12,,true,216,1100
1366824277315,1078,Update Datastream,201,Created,Fedora 4 1-1,,true,215,1078
1366824276404,2061,Update Datastream,201,Created,Fedora 4 1-19,,true,216,2061
1366824277477,1073,Update Datastream,201,Created,Fedora 4 1-4,,true,215,1073
1366824277555,1087,Update Datastream,201,Created,Fedora 4 1-13,,true,216,1087
1366824277634,1085,Update Datastream,201,Created,Fedora 4 1-20,,true,216,1085
1366824277706,1090,Update Datastream,201,Created,Fedora 4 1-7,,true,215,1090
1366824277787,1105,Update Datastream,201,Created,Fedora 4 1-3,,true,215,1105
1366824277907,1117,Update Datastream,201,Created,Fedora 4 1-5,,true,215,1117
1366824278063,1039,Update Datastream,201,Created,Fedora 4 1-10,,true,216,1039
1366824278136,1047,Update Datastream,201,Created,Fedora 4 1-16,,true,216,1047
1366824278216,1054,Update Datastream,201,Created,Fedora 4 1-17,,true,216,1054
1366824274276,5068,Update Datastream,201,Created,Fedora 4 1-6,,true,215,5068
1366824278406,1021,Update Datastream,201,Created,Fedora 4 1-1,,true,215,1021
1366824278477,1033,Update Datastream,201,Created,Fedora 4 1-19,,true,216,1033
1366824275518,4070,Update Datastream,201,Created,Fedora 4 1-18,,true,216,4070
1366824278655,1015,Update Datastream,201,Created,Fedora 4 1-13,,true,216,1015
1366824278734,1056,Update Datastream,201,Created,Fedora 4 1-20,,true,216,1056
1366824278807,1074,Update Datastream,201,Created,Fedora 4 1-7,,true,215,1074
1366824270872,9091,Update Datastream,201,Created,Fedora 4 1-2,,true,215,9091
1366824277984,2060,Update Datastream,201,Created,Fedora 4 1-15,,true,216,2060
1366824279036,1083,Update Datastream,201,Created,Fedora 4 1-5,,true,215,1083
1366824279115,1088,Update Datastream,201,Created,Fedora 4 1-10,,true,216,1088
1366824279195,1153,Update Datastream,201,Created,Fedora 4 1-16,,true,216,1153
1366824279356,1076,Update Datastream,201,Created,Fedora 4 1-6,,true,215,1076
1366824279437,1079,Update Datastream,201,Created,Fedora 4 1-1,,true,215,1079
1366824279524,1070,Update Datastream,201,Created,Fedora 4 1-19,,true,216,1070
1366824279598,1105,Update Datastream,201,Created,Fedora 4 1-18,,true,216,1105
1366824269749,11151,Create Datastream,201,Created,Fedora 4 1-14,,true,216,11151
1366824279895,1108,Update Datastream,201,Created,Fedora 4 1-7,,true,215,1108
1366824279975,1102,Update Datastream,201,Created,Fedora 4 1-2,,true,215,1102
1366824280134,1024,Update Datastream,201,Created,Fedora 4 1-5,,true,215,1024
1366824270092,11242,Create Datastream,201,Created,Fedora 4 1-8,,true,215,11242
1366824278327,3122,Update Datastream,201,Created,Fedora 4 1-12,,true,216,3122
1366824280444,1110,Update Datastream,201,Created,Fedora 4 1-6,,true,215,1110
1366824278564,3163,Update Datastream,201,Created,Fedora 4 1-4,,true,215,3163
1366824280715,1106,Update Datastream,201,Created,Fedora 4 1-18,,true,216,1106
1366824279804,2109,Update Datastream,201,Created,Fedora 4 1-20,,true,216,2109
1366824278905,3116,Update Datastream,201,Created,Fedora 4 1-3,,true,215,3116
1366824281015,1087,Update Datastream,201,Created,Fedora 4 1-7,,true,215,1087
1366824281167,1020,Update Datastream,201,Created,Fedora 4 1-5,,true,215,1020
1366824280216,2054,Update Datastream,201,Created,Fedora 4 1-10,,true,216,2054
1366824279284,3067,Update Datastream,201,Created,Fedora 4 1-17,,true,216,3067
1366824281345,1101,Update Datastream,201,Created,Fedora 4 1-8,,true,215,1101
1366824281463,1135,Update Datastream,201,Created,Fedora 4 1-12,,true,216,1135
1366824280605,2076,Update Datastream,201,Created,Fedora 4 1-19,,true,216,2076
1366824279684,3085,Update Datastream,201,Created,Fedora 4 1-13,,true,216,3085
1366824276825,6036,Update Datastream,201,Created,Fedora 4 1-9,,true,215,6036
1366824273847,9099,Update Datastream,201,Created,Fedora 4 1-11,,true,216,9099
1366824282034,999,Update Datastream,201,Created,Fedora 4 1-3,,true,215,999
1366824280056,3066,Update Datastream,201,Created,Fedora 4 1-15,,true,216,3066
1366824282115,1090,Update Datastream,201,Created,Fedora 4 1-7,,true,215,1090
1366824282197,1108,Update Datastream,201,Created,Fedora 4 1-5,,true,215,1108
1366824282364,1082,Update Datastream,201,Created,Fedora 4 1-17,,true,216,1082
1366824282456,1098,Update Datastream,201,Created,Fedora 4 1-8,,true,215,1098
1366824281566,2077,Update Datastream,201,Created,Fedora 4 1-6,,true,215,2077
1366824282694,1023,Update Datastream,201,Created,Fedora 4 1-19,,true,216,1023
1366824281736,2069,Update Datastream,201,Created,Fedora 4 1-4,,true,215,2069
1366824281834,2062,Update Datastream,201,Created,Fedora 4 1-18,,true,216,2062
1366824280914,3082,Update Datastream,201,Created,Fedora 4 1-14,,true,216,3082
1366824283045,1029,Update Datastream,201,Created,Fedora 4 1-3,,true,215,1029
1366824281086,3083,Update Datastream,201,Created,Fedora 4 1-2,,true,215,3083
1366824283216,1065,Update Datastream,201,Created,Fedora 4 1-7,,true,215,1065
1366824282283,2079,Update Datastream,201,Created,Fedora 4 1-10,,true,216,2079
1366824280358,4084,Update Datastream,201,Created,Fedora 4 1-16,,true,216,4084
1366824283456,1072,Update Datastream,201,Created,Fedora 4 1-17,,true,216,1072
1366824280521,4229,Create Datastream,201,Created,Fedora 4 1-1,,true,215,4229
1366824282783,2070,Update Datastream,201,Created,Fedora 4 1-13,,true,216,2070
1366824282874,2092,Update Datastream,201,Created,Fedora 4 1-9,,true,215,2092
1366824282956,2112,Update Datastream,201,Created,Fedora 4 1-11,,true,216,2112
1366824284085,1077,Update Datastream,201,Created,Fedora 4 1-3,,true,215,1077
1366824284183,1079,Update Datastream,201,Created,Fedora 4 1-2,,true,215,1079
1366824284288,1214,Create Datastream,201,Created,Fedora 4 1-7,,true,215,1214
1366824284543,1045,Update Datastream,201,Created,Fedora 4 1-17,,true,216,1045
1366824282613,3080,Update Datastream,201,Created,Fedora 4 1-12,,true,216,3080
1366824283727,2071,Update Datastream,201,Created,Fedora 4 1-19,,true,216,2071
1366824283816,2077,Update Datastream,201,Created,Fedora 4 1-4,,true,215,2077
1366824283906,2089,Update Datastream,201,Created,Fedora 4 1-18,,true,216,2089
1366824284007,2101,Update Datastream,201,Created,Fedora 4 1-14,,true,216,2101
1366824283134,3058,Update Datastream,201,Created,Fedora 4 1-15,,true,216,3058
1366824285275,1041,Update Datastream,201,Created,Fedora 4 1-2,,true,215,1041
1366824283316,3159,Update Datastream,201,Created,Fedora 4 1-5,,true,215,3159
1366824285515,1042,Update Datastream,201,Created,Fedora 4 1-7,,true,215,1042
1366824283565,3078,Update Datastream,201,Created,Fedora 4 1-8,,true,215,3078
1366824283655,3086,Update Datastream,201,Created,Fedora 4 1-6,,true,215,3086
1366824284764,2062,Update Datastream,201,Created,Fedora 4 1-1,,true,215,2062
1366824285813,1096,Update Datastream,201,Created,Fedora 4 1-19,,true,216,1096
1366824285905,1112,Update Datastream,201,Created,Fedora 4 1-4,,true,215,1112
1366824286006,1140,Update Datastream,201,Created,Fedora 4 1-18,,true,216,1140
1366824285168,2205,Create Datastream,201,Created,Fedora 4 1-3,,true,215,2205
1366824284375,3140,Update Datastream,201,Created,Fedora 4 1-10,,true,216,3140
1366824286566,1056,Update Datastream,201,Created,Fedora 4 1-7,,true,215,1056
1366824286655,1043,Update Datastream,201,Created,Fedora 4 1-8,,true,215,1043
1366824285705,2080,Update Datastream,201,Created,Fedora 4 1-12,,true,216,2080
1366824286836,1026,Update Datastream,201,Created,Fedora 4 1-1,,true,215,1026
1366824284865,3081,Update Datastream,201,Created,Fedora 4 1-13,,true,216,3081
1366824284976,3063,Update Datastream,201,Created,Fedora 4 1-9,,true,215,3063
1366824287026,1119,Update Datastream,201,Created,Fedora 4 1-4,,true,215,1119
1366824287156,1093,Update Datastream,201,Created,Fedora 4 1-18,,true,216,1093
1366824286326,1997,Update Datastream,201,Created,Fedora 4 1-2,,true,215,1997
1366824287385,1028,Update Datastream,201,Created,Fedora 4 1-3,,true,215,1028
1366824284454,4038,Update Datastream,201,Created,Fedora 4 1-16,,true,216,4038
1366824286486,2080,Update Datastream,201,Created,Fedora 4 1-5,,true,215,2080
1366824285603,3041,Update Datastream,201,Created,Fedora 4 1-17,,true,216,3041
1366824287635,1085,Update Datastream,201,Created,Fedora 4 1-7,,true,215,1085
1366824287713,1098,Update Datastream,201,Created,Fedora 4 1-8,,true,215,1098
1366824287875,1042,Update Datastream,201,Created,Fedora 4 1-1,,true,215,1042
1366824286923,2103,Update Datastream,201,Created,Fedora 4 1-19,,true,216,2103
1366824288053,1072,Update Datastream,201,Created,Fedora 4 1-9,,true,215,1072
1366824286122,3088,Update Datastream,201,Created,Fedora 4 1-14,,true,216,3088
1366824286204,3095,Update Datastream,201,Created,Fedora 4 1-15,,true,216,3095
1366824288335,1068,Update Datastream,201,Created,Fedora 4 1-2,,true,215,1068
1366824288425,1069,Update Datastream,201,Created,Fedora 4 1-3,,true,215,1069
1366824288505,1086,Update Datastream,201,Created,Fedora 4 1-16,,true,216,1086
1366824288655,1023,Update Datastream,201,Created,Fedora 4 1-17,,true,216,1023
1366824288734,1065,Update Datastream,201,Created,Fedora 4 1-7,,true,215,1065
1366824287796,2201,Update Datastream,201,Created,Fedora 4 1-12,,true,216,2201
1366824289033,1173,Create Datastream,201,Created,Fedora 4 1-19,,true,216,1173
1366824289224,1087,Update Datastream,201,Created,Fedora 4 1-14,,true,216,1087
1366824289314,1109,Update Datastream,201,Created,Fedora 4 1-15,,true,216,1109
1366824289409,1174,Create Datastream,201,Created,Fedora 4 1-2,,true,215,1174
1366824288576,2086,Update Datastream,201,Created,Fedora 4 1-5,,true,215,2086
1366824289692,1066,Update Datastream,201,Created,Fedora 4 1-17,,true,216,1066
1366824286754,4071,Update Datastream,201,Created,Fedora 4 1-6,,true,215,4071
1366824289813,1121,Update Datastream,201,Created,Fedora 4 1-7,,true,215,1121
1366824281925,9110,Update Datastream,201,Created,Fedora 4 1-20,,true,216,9110
1366824285082,6101,Update Datastream,201,Created,Fedora 4 1-11,,true,216,6101
1366824290216,1063,Update Datastream,201,Created,Fedora 4 1-19,,true,216,1063
1366824290324,1043,Update Datastream,201,Created,Fedora 4 1-14,,true,216,1043
1366824290436,1024,Update Datastream,201,Created,Fedora 4 1-15,,true,216,1024
1366824289506,2036,Update Datastream,201,Created,Fedora 4 1-3,,true,215,2036
1366824290596,1033,Update Datastream,201,Created,Fedora 4 1-2,,true,215,1033
1366824290669,1123,Create Datastream,201,Created,Fedora 4 1-5,,true,215,1123
1366824290837,1095,Update Datastream,201,Created,Fedora 4 1-6,,true,215,1095
1366824288927,3115,Update Datastream,201,Created,Fedora 4 1-1,,true,215,3115
1366824291047,1161,Update Datastream,201,Created,Fedora 4 1-20,,true,216,1161
1366824291196,1112,Update Datastream,201,Created,Fedora 4 1-11,,true,216,1112
1366824291378,1035,Update Datastream,201,Created,Fedora 4 1-14,,true,216,1035
1366824291475,1046,Update Datastream,201,Created,Fedora 4 1-15,,true,216,1046
1366824287527,5110,Update Datastream,201,Created,Fedora 4 1-10,,true,216,5110
1366824291644,1092,Update Datastream,201,Created,Fedora 4 1-2,,true,215,1092
1366824290774,2060,Update Datastream,201,Created,Fedora 4 1-17,,true,216,2060
1366824288824,4135,Update Datastream,201,Created,Fedora 4 1-8,,true,215,4135
1366824290946,2167,Update Datastream,201,Created,Fedora 4 1-7,,true,215,2167
1366824289136,4086,Update Datastream,201,Created,Fedora 4 1-9,,true,215,4086
1366824292218,1118,Update Datastream,201,Created,Fedora 4 1-20,,true,216,1118
1366824292425,1015,Update Datastream,201,Created,Fedora 4 1-14,,true,216,1015
1366824292527,1126,Create Datastream,201,Created,Fedora 4 1-15,,true,216,1126
1366824292644,1149,Create Datastream,201,Created,Fedora 4 1-10,,true,216,1149
1366824291805,2082,Update Datastream,201,Created,Fedora 4 1-5,,true,215,2082
1366824291945,2113,Update Datastream,201,Created,Fedora 4 1-6,,true,215,2113
1366824292056,2146,Update Datastream,201,Created,Fedora 4 1-1,,true,215,2146
1366824293236,1251,Update Datastream,201,Created,Fedora 4 1-9,,true,215,1251
1366824291556,3047,Update Datastream,201,Created,Fedora 4 1-3,,true,215,3047
1366824289604,5124,Update Datastream,201,Created,Fedora 4 1-16,,true,216,5124
1366824292747,2087,Update Datastream,201,Created,Fedora 4 1-2,,true,215,2087
1366824292841,2250,Create Datastream,201,Created,Fedora 4 1-17,,true,216,2250
1366824293126,2090,Update Datastream,201,Created,Fedora 4 1-7,,true,215,2090
1366824294215,1123,Update Datastream,201,Created,Fedora 4 1-1,,true,215,1123
1366824293347,2113,Update Datastream,201,Created,Fedora 4 1-20,,true,216,2113
1366824293454,2128,Update Datastream,201,Created,Fedora 4 1-14,,true,216,2128
1366824294615,1082,Update Datastream,201,Created,Fedora 4 1-3,,true,215,1081
1366824294744,1086,Update Datastream,201,Created,Fedora 4 1-16,,true,216,1086
1366824294846,1098,Update Datastream,201,Created,Fedora 4 1-2,,true,215,1098
1366824287956,8092,Update Datastream,201,Created,Fedora 4 1-13,,true,216,8092
1366824294064,2186,Create Datastream,201,Created,Fedora 4 1-6,,true,215,2186
1366824288263,8106,Update Datastream,201,Created,Fedora 4 1-18,,true,216,8106
1366824295466,1087,Create Datastream,201,Created,Fedora 4 1-20,,true,216,1087
1366824295595,1051,Update Datastream,201,Created,Fedora 4 1-14,,true,216,1051
1366824293666,3081,Update Datastream,201,Created,Fedora 4 1-15,,true,216,3081
1366824293806,3024,Update Datastream,201,Created,Fedora 4 1-10,,true,216,3023
1366824295845,1120,Update Datastream,201,Created,Fedora 4 1-16,,true,216,1120
1366824295956,1100,Update Datastream,201,Created,Fedora 4 1-2,,true,215,1100
1366824296064,1114,Update Datastream,201,Created,Fedora 4 1-13,,true,216,1114
1366824295227,2034,Update Datastream,201,Created,Fedora 4 1-7,,true,215,2034
1366824296264,1099,Update Datastream,201,Created,Fedora 4 1-6,,true,215,1099
1366824295348,2135,Update Datastream,201,Created,Fedora 4 1-1,,true,215,2135
1366824294498,3102,Update Datastream,201,Created,Fedora 4 1-9,,true,215,3102
1366824296657,1072,Update Datastream,201,Created,Fedora 4 1-14,,true,216,1072
1366824296758,1085,Update Datastream,201,Created,Fedora 4 1-15,,true,216,1085
1366824296844,1142,Update Datastream,201,Created,Fedora 4 1-10,,true,216,1142
1366824296971,1188,Create Datastream,201,Created,Fedora 4 1-16,,true,216,1188
1366824288151,10399,Create Datastream,201,Created,Fedora 4 1-4,,true,215,10399
1366824296566,2096,Update Datastream,201,Created,Fedora 4 1-20,,true,216,2096
1366824295707,3050,Update Datastream,201,Created,Fedora 4 1-3,,true,215,3050
1366824297856,985,Update Datastream,201,Created,Fedora 4 1-15,,true,216,985
1366824293897,5035,Update Datastream,201,Created,Fedora 4 1-5,,true,215,5035
1366824292974,6055,Update Datastream,201,Created,Fedora 4 1-8,,true,215,6055
1366824290007,9096,Update Datastream,201,Created,Fedora 4 1-12,,true,216,9096
1366824295106,4080,Update Datastream,201,Created,Fedora 4 1-17,,true,216,4080
1366824297187,2148,Update Datastream,201,Created,Fedora 4 1-13,,true,216,2148
1366824297606,2181,Create Datastream,201,Created,Fedora 4 1-9,,true,215,2181
1366824297496,2292,Update Datastream,201,Created,Fedora 4 1-1,,true,215,2292
1366824297376,2413,Update Datastream,201,Created,Fedora 4 1-6,,true,215,2413
1366824298566,1222,Update Datastream,201,Created,Fedora 4 1-4,,true,215,1222
1366824297736,2126,Create Datastream,201,Created,Fedora 4 1-14,,true,216,2126
1366824298855,1084,Update Datastream,201,Created,Fedora 4 1-15,,true,216,1084
1366824298945,1075,Update Datastream,201,Created,Fedora 4 1-5,,true,215,1075
1366824299044,1054,Update Datastream,201,Created,Fedora 4 1-8,,true,215,1054
1366824299111,1186,Create Datastream,201,Created,Fedora 4 1-12,,true,216,1186
1366824291294,9095,Update Datastream,201,Created,Fedora 4 1-19,,true,216,9095
1366824296376,4142,Create Datastream,201,Created,Fedora 4 1-18,,true,216,4142
1366824298676,1929,Update Datastream,201,Created,Fedora 4 1-20,,true,216,1929
1366824298773,1914,Update Datastream,201,Created,Fedora 4 1-3,,true,215,1914
1366824299809,983,Update Datastream,201,Created,Fedora 4 1-9,,true,215,983
1366824299817,1063,Update Datastream,201,Created,Fedora 4 1-4,,true,215,1063
1366824299875,1100,Update Datastream,201,Created,Fedora 4 1-14,,true,216,1100
1366824297998,3094,Update Datastream,201,Created,Fedora 4 1-10,,true,216,3094
1366824300113,1060,Update Datastream,201,Created,Fedora 4 1-8,,true,215,1060
1366824299197,2057,Update Datastream,201,Created,Fedora 4 1-17,,true,216,2057
1366824298169,3167,Update Datastream,201,Created,Fedora 4 1-16,,true,216,3167
1366824300404,1020,Update Datastream,201,Created,Fedora 4 1-19,,true,216,1020
1366824300527,996,Update Datastream,201,Created,Fedora 4 1-18,,true,216,996
1366824300615,993,Update Datastream,201,Created,Fedora 4 1-20,,true,216,993
1366824300696,1003,Update Datastream,201,Created,Fedora 4 1-3,,true,215,1003
1366824300804,1003,Update Datastream,201,Created,Fedora 4 1-9,,true,215,1003
1366824299816,2286,Update Datastream,201,Created,Fedora 4 1-6,,true,215,2286
1366824301104,1080,Update Datastream,201,Created,Fedora 4 1-10,,true,216,1080
1366824301184,1135,Update Datastream,201,Created,Fedora 4 1-8,,true,215,1135
1366824300307,2134,Update Datastream,201,Created,Fedora 4 1-12,,true,216,2134
1366824301435,1187,Update Datastream,201,Created,Fedora 4 1-19,,true,216,1187
1366824301623,1107,Update Datastream,201,Created,Fedora 4 1-20,,true,216,1107
1366824299813,3020,Update Datastream,201,Created,Fedora 4 1-13,,true,216,3020
1366824301817,1089,Update Datastream,201,Created,Fedora 4 1-9,,true,215,1089
1366824299954,3135,Update Datastream,201,Created,Fedora 4 1-15,,true,216,3135
1366824302114,1057,Update Datastream,201,Created,Fedora 4 1-6,,true,215,1057
1366824302195,1158,Update Datastream,201,Created,Fedora 4 1-10,,true,216,1158
1366824301346,2087,Update Datastream,201,Created,Fedora 4 1-16,,true,216,2087
1366824302454,1056,Update Datastream,201,Created,Fedora 4 1-12,,true,216,1056
1366824301535,2054,Update Datastream,201,Created,Fedora 4 1-18,,true,216,2054
1366824302635,1035,Update Datastream,201,Created,Fedora 4 1-19,,true,216,1035
1366824301713,2036,Update Datastream,201,Created,Fedora 4 1-3,,true,215,2036
1366824302743,1088,Update Datastream,201,Created,Fedora 4 1-20,,true,216,1088
1366824302838,1160,Create Datastream,201,Created,Fedora 4 1-13,,true,216,1160
1366824300985,3153,Update Datastream,201,Created,Fedora 4 1-14,,true,216,3153
1366824303184,1063,Update Datastream,201,Created,Fedora 4 1-6,,true,215,1063
1366824301265,3050,Update Datastream,201,Created,Fedora 4 1-17,,true,216,3050
1366824292318,12073,Update Datastream,201,Created,Fedora 4 1-11,,true,216,12073
1366824303445,1024,Update Datastream,201,Created,Fedora 4 1-16,,true,216,1024
1366824303524,1017,Update Datastream,201,Created,Fedora 4 1-12,,true,216,1017
1366824303603,1019,Update Datastream,201,Created,Fedora 4 1-18,,true,216,1019
1366824303683,1018,Update Datastream,201,Created,Fedora 4 1-19,,true,216,1018
1366824303763,1021,Update Datastream,201,Created,Fedora 4 1-3,,true,215,1021
1366824299817,5037,Update Datastream,201,Created,Fedora 4 1-1,,true,215,5037
1366824303844,1112,Update Datastream,201,Created,Fedora 4 1-20,,true,216,1112
1366824304013,1017,Update Datastream,201,Created,Fedora 4 1-13,,true,216,1017
1366824300034,5181,Update Datastream,201,Created,Fedora 4 1-5,,true,215,5181
1366824304262,1031,Update Datastream,201,Created,Fedora 4 1-6,,true,215,1031
1366824304325,1043,Update Datastream,201,Created,Fedora 4 1-17,,true,216,1043
1366824303365,2089,Update Datastream,201,Created,Fedora 4 1-10,,true,216,2089
1366824304483,1047,Update Datastream,201,Created,Fedora 4 1-16,,true,216,1047
1366824304554,1046,Update Datastream,201,Created,Fedora 4 1-12,,true,216,1046
1366824304634,1080,Update Datastream,201,Created,Fedora 4 1-18,,true,216,1080
1366824304714,1151,Update Datastream,201,Created,Fedora 4 1-19,,true,216,1151
1366824304865,1107,Update Datastream,201,Created,Fedora 4 1-1,,true,215,1107
1366824304966,1073,Update Datastream,201,Created,Fedora 4 1-20,,true,216,1073
1366824305043,1063,Update Datastream,201,Created,Fedora 4 1-13,,true,216,1063
1366824303103,3338,Update Datastream,201,Created,Fedora 4 1-15,,true,216,3338
1366824305465,1083,Update Datastream,201,Created,Fedora 4 1-10,,true,216,1083
1366824305544,1075,Update Datastream,201,Created,Fedora 4 1-16,,true,216,1075
